hs6,dimension,score,sitc2,sitc2_label
851090,2,0.165579280742972,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851110,2,0.446400778554116,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851120,2,0.0362367401593432,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851130,2,0.601107609486565,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851140,2,2.1106593885886,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851150,2,3.46762496556469,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851180,2,0.591730888706646,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851190,2,1.14445987819799,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851210,2,0.0549270757758345,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851220,2,8.52072187700033,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851230,2,0.307262429479911,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851240,2,0.6022181962781,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851290,2,3.26887299992858,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851310,2,0.242279307757068,81,"81 - Sanitary, plumbing, heating, lighting fixtures and fittings, n.e.s."
851390,2,0.0149348176454318,81,"81 - Sanitary, plumbing, heating, lighting fixtures and fittings, n.e.s."
851410,2,0.494283510471304,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
851420,2,0.113746605664721,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
851430,2,0.124185176005536,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
851440,2,0.0734328517486601,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
851490,2,0.411113498041842,74,"74 - General industrial machinery and equipment, n.e.s., and parts of, n.e.s."
851511,2,0.0240572433270316,73,73 - Metalworking machinery
851519,2,0.0810037223295339,73,73 - Metalworking machinery
851521,2,0.530775736024801,73,73 - Metalworking machinery
851529,2,0.0494090271548079,73,73 - Metalworking machinery
851531,2,0.651026126624202,73,73 - Metalworking machinery
851539,2,0.295886423794011,73,73 - Metalworking machinery
851580,2,0.820534281807611,73,73 - Metalworking machinery
851590,2,0.594672668661433,73,73 - Metalworking machinery
851610,2,0.648847655606831,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851621,2,0.0313501826512902,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851629,2,0.43554800000123,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851631,2,0.210079548722071,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851632,2,0.206055977147915,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851633,2,0.0180385344748368,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851640,2,1.05309819853379,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851650,2,1.20345690063496,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851660,2,6.58914651991149,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851671,2,2.34021825047043,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
851672,2,0.11658528227907,77,"77 - Electric machinery, apparatus and appliances, n.e.s., and electrical parts thereof"
